gender,height,weight,shoe_size,right.left_handed,smoker.nonsmoker,hair_colour,eye_colour,R_wrist_girth,L_wrist_girth,nb_siblings,birth_place,height_M,height_F,nb_siblings_F,nb_siblings_M,diet
M,183,72,42,R,NS,lb,1,17,16.6,2,vd,170,174,5,1,4
M,183,68,43,R,NS,db,2,17,16,1,fr,170,178,4,2,2
M,182,73,44,R,NS,bl,1,18.5,18,2,ne,168,181,3,5,4
M,175,66,41,L,NS,db,2,17,17,2,vd,156,178,4,7,1
M,158,42,41,R,NS,db,2,14,14,2,vd,156,178,4,7,1
M,179,70,47,R,S,db,2,16,16,1,vd,150,190,1,0,4
F,172,61,38,L,NS,lb,1,15.3,15,2,vd,168,186,2,4,2
M,185,69,44,R,NS,db,2,16.5,15,1,vd,172,167,4,0,3
M,177,75,43,R,S,db,2,17,16.3,1,fr,161,169,3,2,3
F,165,50,37,R,NS,db,3,15,15,3,vd,163,175,1,3,1
M,186,93,45,R,S,db,2,18.6,18.7,1,vd,176,173,0,2,4
F,165,53,39,R,NS,lb,1,15.3,15,1,ju,166,180,3,5,1
F,156,48,37,R,NS,db,3,15,15.2,2,vd,168,177,1,1,2
M,178,75,43,R,NS,db,2,17,16.8,0,vd,175,167,0,1,3
F,172,49,39,R,NS,lb,2,14,14,1,vd,168,180,6,4,3
F,168,52,38,R,NS,lb,2,14.1,13.7,1,vd,165,185,1,2,1
M,183,72,42,R,NS,lb,1,17,16.6,2,vd,170,174,5,1,2
M,178,73,42,R,NS,db,2,18,17,1,bresil,165,168,7,2,4
M,183,60,43,R,NS,db,3,17,17,1,vd,174,178,1,3,2
F,166,48,38,R,NS,lb,4,14,14,2,vd,158,172,1,2,1
M,177,70,45,R,NS,bl,3,17,17,1,vd,173,175,0,0,3
M,180,70,43,R,NS,db,2,17,17,4,vd,160,170,7,6,1
M,174,69,42,R,NS,db,2,16.7,16.4,1,vd,164,175,7,2,3
M,184,70,46,R,NS,db,2,17,17.5,2,vd,160,175,2,0,4
M,168,69,43,R,S,db,2,16.5,16,1,vd,153,176,14,2,3
F,176,59,39,R,NS,bl,2,15,15,1,vd,166,182,1,1,4
F,159,51,38,R,S,db,3,15.6,15.8,1,fr,168,167,2,2,2
M,169,60,41,R,NS,bl,1,15,15,1,vs,157,168,4,3,1
F,164,61,38.5,R,S,bl,2,15.5,15.5,1,france,170,178,1,6,3
F,150,49,35,R,NS,db,2,14.5,14.5,4,colombie,148,165,13,1,3
F,163,54,37.5,R,NS,db,2,15.2,14.8,3,ju,167,164,7,5,2
M,181,96,44,R,NS,lb,1,18.6,19.3,1,vd,164,174,2,0,4
F,169,68,40,L,NS,bl,2,14.3,14.5,1,ti,161,178,0,4,2
M,170,65,44,R,S,bl,2,15.2,15.5,1,vd,175,178,1,0,2
F,160,50,34.5,R,NS,db,2,14.5,14.3,0,vd,162,172,2,1,1
M,180,63,42,R,NS,bl,2,14.5,14.2,2,vs,160,182,2,2,2
F,165,49,38,R,NS,db,2,14,14.5,1,ti,168,182,7,1,2
M,184,80,45,R,NS,db,2,17,16,2,ti,162,175,4,5,3
F,170,65,40,R,NS,db,2,16,15,2,vs,161,178,2,2,4
F,173,66,40,R,NS,lb,2,16.5,16,1,ge,175,185,1,1,3
F,165,63,39,L,NS,lb,3,17.2,17.2,0,zh,162,182,1,1,4
F,159,52,37,R,NS,bl,3,15,15,1,vd,157,170,2,2,1
M,181,65,44,L,NS,db,2,17.5,17,1,vd,162,172,2,2,2
F,175,76,42,R,NS,db,2,16.6,16.8,1,vd,161,189,3,3,4
F,170,58,38,R,NS,bl,1,14.6,14.7,0,vs,159,180,2,2,3
F,168,60,41,R,NS,bl,1,14.5,14,3,ju,173,178,2,1,2
F,172,62,39,R,S,lb,4,14.8,14.8,1,ju,165,185,4,2,4